District,State,Region,Year,Season,Crop,Latitude,Longitude,SoilType,IrrigationLevel,Rainfall,Temperature,Humidity,SoilMoisture,NDVI_Flowering,WaterStress,PestRisk,SuitabilityScore,YieldIndex,Failure,RecommendedCrop,IsRecommendedCrop
Jaipur,Rajasthan,Northwest Dryland,2018,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,124.88,30.71,61.25,65.52,0.605,0.539,0.443,0.674,66.91,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2018,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,132.44,33.15,63.89,61.74,0.685,0.077,0.507,0.738,78.14,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2018,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,139.56,32.66,53.0,55.18,0.704,0.118,0.46,0.777,89.99,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2018,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,106.98,34.36,63.9,57.09,0.644,0.173,0.507,0.727,78.45,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2018,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,55.87,25.48,44.1,37.79,0.69,0.445,0.417,0.766,67.68,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2018,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,43.78,24.39,48.46,29.07,0.733,0.382,0.405,0.966,89.76,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2018,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,48.42,23.98,44.01,34.47,0.693,0.211,0.406,0.849,84.01,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2018,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,44.54,36.68,31.83,35.65,0.627,0.395,0.358,0.662,71.89,0,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2018,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,49.69,36.28,38.66,31.21,0.762,0.095,0.364,0.925,84.34,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2019,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,105.51,32.17,65.09,55.15,0.618,0.785,0.433,0.678,61.35,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2019,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,126.95,33.52,51.84,46.43,0.659,0.278,0.445,0.74,82.68,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2019,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,122.87,33.48,65.51,64.68,0.727,0.07,0.452,0.756,75.92,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2019,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,130.16,32.51,45.7,49.88,0.688,0.311,0.541,0.715,74.33,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2019,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,58.28,23.21,35.09,31.1,0.721,0.524,0.354,0.769,68.96,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2019,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,53.14,28.89,38.91,43.86,0.704,0.126,0.364,0.875,96.41,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2019,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,39.55,27.05,40.69,34.75,0.691,0.297,0.372,0.814,74.65,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2019,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,67.27,35.65,33.17,34.29,0.708,0.287,0.45,0.795,80.37,1,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2019,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,22.41,32.29,45.56,45.79,0.763,0.292,0.379,0.947,83.83,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2020,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,119.92,32.64,58.36,69.26,0.679,0.448,0.455,0.708,66.66,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2020,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,114.65,35.01,46.72,58.25,0.666,0.138,0.458,0.741,83.93,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2020,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,116.42,33.53,57.24,49.32,0.717,0.22,0.532,0.813,76.05,0,Cotton,1
