District,State,Year,Status
Adilabad,Telangana,2013,No matched historical weather observation
Adilabad,Telangana,2014,No matched historical weather observation
Adilabad,Telangana,2015,No matched historical weather observation
Adilabad,Telangana,2016,No matched historical weather observation
Adilabad,Telangana,2017,No matched historical weather observation
Adilabad,Telangana,2018,No matched historical weather observation
Adilabad,Telangana,2019,No matched historical weather observation
Adilabad,Telangana,2020,No matched historical weather observation
Adilabad,Telangana,2021,No matched historical weather observation
Adilabad,Telangana,2022,No matched historical weather observation
Alappuzha,Kerala,2013,No matched historical weather observation
Alappuzha,Kerala,2014,No matched historical weather observation
Alappuzha,Kerala,2015,No matched historical weather observation
Alappuzha,Kerala,2016,No matched historical weather observation
Alappuzha,Kerala,2017,No matched historical weather observation
Alappuzha,Kerala,2018,No matched historical weather observation
Alappuzha,Kerala,2019,No matched historical weather observation
Alappuzha,Kerala,2020,No matched historical weather observation
Alappuzha,Kerala,2021,No matched historical weather observation
Alappuzha,Kerala,2022,No matched historical weather observation
Aligarh,Uttar Pradesh,2013,No matched historical weather observation
Aligarh,Uttar Pradesh,2014,No matched historical weather observation
Aligarh,Uttar Pradesh,2015,No matched historical weather observation
Aligarh,Uttar Pradesh,2016,No matched historical weather observation
Aligarh,Uttar Pradesh,2017,No matched historical weather observation
Aligarh,Uttar Pradesh,2018,No matched historical weather observation
Aligarh,Uttar Pradesh,2019,No matched historical weather observation
Aligarh,Uttar Pradesh,2020,No matched historical weather observation
Aligarh,Uttar Pradesh,2021,No matched historical weather observation
Aligarh,Uttar Pradesh,2022,No matched historical weather observation
Alipurduar,West Bengal,2016,No matched historical weather observation
Alipurduar,West Bengal,2017,No matched historical weather observation
Alipurduar,West Bengal,2018,No matched historical weather observation
Alipurduar,West Bengal,2019,No matched historical weather observation
Alipurduar,West Bengal,2020,No matched historical weather observation
Alipurduar,West Bengal,2021,No matched historical weather observation
Alipurduar,West Bengal,2022,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2013,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2014,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2015,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2016,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2017,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2018,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2019,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2020,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2021,No matched historical weather observation
Ambedkar nagar,Uttar Pradesh,2022,No matched historical weather observation
Amethi,Uttar Pradesh,2013,No matched historical weather observation
Amethi,Uttar Pradesh,2014,No matched historical weather observation
Amethi,Uttar Pradesh,2015,No matched historical weather observation
Amethi,Uttar Pradesh,2016,No matched historical weather observation
Amethi,Uttar Pradesh,2017,No matched historical weather observation
Amethi,Uttar Pradesh,2018,No matched historical weather observation
Amethi,Uttar Pradesh,2019,No matched historical weather observation
Amethi,Uttar Pradesh,2020,No matched historical weather observation
Amethi,Uttar Pradesh,2021,No matched historical weather observation
Amethi,Uttar Pradesh,2022,No matched historical weather observation
Anand,Gujarat,2013,No matched historical weather observation
Anand,Gujarat,2014,No matched historical weather observation
Anand,Gujarat,2015,No matched historical weather observation
Anand,Gujarat,2016,No matched historical weather observation
Anand,Gujarat,2017,No matched historical weather observation
Anand,Gujarat,2018,No matched historical weather observation
Anand,Gujarat,2019,No matched historical weather observation
Anand,Gujarat,2020,No matched historical weather observation
Anand,Gujarat,2021,No matched historical weather observation
Anand,Gujarat,2022,No matched historical weather observation
Anantapur,Andhra Pradesh,2013,No matched historical weather observation
Anantapur,Andhra Pradesh,2014,No matched historical weather observation
