State,District,Year,ReportingYear,Season,Crop,Area,Production,ReportedYieldTonnesPerHectare,CropDataSource
Andaman and Nicobar Islands,Nicobars,2013,2013 - 2014,Whole Year,All Crops,3.0,6.0,2.38,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2014,2014 - 2015,Whole Year,All Crops,5.0,11.0,2.35,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2015,2015 - 2016,Whole Year,All Crops,5.0,11.0,2.24,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2016,2016 - 2017,Whole Year,All Crops,7.0,10.0,1.43,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2017,2017 - 2018,Whole Year,All Crops,1.0,1.0,0.53,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2018,2018 - 2019,Whole Year,All Crops,4.0,6.0,1.47,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2019,2019 - 2020,Whole Year,All Crops,3.0,4.0,1.39,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,Nicobars,2022,2022 - 2023,Whole Year,All Crops,1.0,1.0,1.26,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2013,2013 - 2014,Whole Year,All Crops,7685.0,15447.0,2.01,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2014,2014 - 2015,Whole Year,All Crops,6163.0,12644.0,2.05,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2015,2015 - 2016,Whole Year,All Crops,5879.0,13228.0,2.25,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2016,2016 - 2017,Whole Year,All Crops,4685.0,12082.0,2.58,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2017,2017 - 2018,Whole Year,All Crops,5100.0,10729.0,2.1,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2018,2018 - 2019,Whole Year,All Crops,5223.0,11056.0,2.12,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2019,2019 - 2020,Whole Year,All Crops,5630.0,17772.0,3.16,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,North and middle andaman,2022,2022 - 2023,Whole Year,All Crops,4915.0,10369.0,2.11,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2013,2013 - 2014,Whole Year,All Crops,317.0,792.0,2.5,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2014,2014 - 2015,Whole Year,All Crops,268.0,464.0,1.74,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2015,2015 - 2016,Whole Year,All Crops,216.0,439.0,2.03,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2016,2016 - 2017,Whole Year,All Crops,185.0,502.0,2.71,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2017,2017 - 2018,Whole Year,All Crops,240.0,500.0,2.09,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2018,2018 - 2019,Whole Year,All Crops,164.0,379.0,2.31,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2019,2019 - 2020,Whole Year,All Crops,68.0,205.0,3.04,"DES Area, Production & Yield Query Report"
Andaman and Nicobar Islands,South andamans,2022,2022 - 2023,Whole Year,All Crops,74.0,153.0,2.08,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Alluri sitharama raju,2022,2022 - 2023,Whole Year,All Crops,58705.0,175374.0,2.99,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anakapalli,2022,2022 - 2023,Whole Year,All Crops,59406.0,186481.0,3.14,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2013,2013 - 2014,Whole Year,All Crops,40397.0,87935.0,2.18,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2014,2014 - 2015,Whole Year,All Crops,29211.0,82532.0,2.83,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2015,2015 - 2016,Whole Year,All Crops,33623.0,97651.0,2.9,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2016,2016 - 2017,Whole Year,All Crops,22887.0,57431.0,2.51,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2017,2017 - 2018,Whole Year,All Crops,30914.0,86359.0,2.79,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2018,2018 - 2019,Whole Year,All Crops,31004.0,81302.0,2.62,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2019,2019 - 2020,Whole Year,All Crops,32540.0,110648.0,3.4,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2020,2020 - 2021,Whole Year,All Crops,35735.0,103925.0,2.91,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2021,2021 - 2022,Whole Year,All Crops,32366.0,72080.0,2.23,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Anantapur,2022,2022 - 2023,Whole Year,All Crops,26995.0,103988.0,3.85,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Annamayya,2022,2022 - 2023,Whole Year,All Crops,15906.0,52418.0,3.3,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Bapatla,2022,2022 - 2023,Whole Year,All Crops,115379.0,480939.0,4.17,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2013,2013 - 2014,Whole Year,All Crops,49860.0,169015.0,3.39,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2014,2014 - 2015,Whole Year,All Crops,40965.0,132424.0,3.23,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2015,2015 - 2016,Whole Year,All Crops,88153.0,334549.0,3.8,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2016,2016 - 2017,Whole Year,All Crops,46700.0,170201.0,3.64,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2017,2017 - 2018,Whole Year,All Crops,64812.0,246155.0,3.8,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2018,2018 - 2019,Whole Year,All Crops,43941.0,159767.0,3.64,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2019,2019 - 2020,Whole Year,All Crops,54519.0,200391.0,3.68,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2020,2020 - 2021,Whole Year,All Crops,90147.0,322911.0,3.58,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2021,2021 - 2022,Whole Year,All Crops,86842.0,306533.0,3.53,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Chittoor,2022,2022 - 2023,Whole Year,All Crops,19888.0,62697.0,3.15,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2013,2013 - 2014,Whole Year,All Crops,404682.0,1211706.0,2.99,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2014,2014 - 2015,Whole Year,All Crops,394117.0,1563229.0,3.97,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2015,2015 - 2016,Whole Year,All Crops,381740.0,1445573.0,3.79,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2016,2016 - 2017,Whole Year,All Crops,383959.0,1627030.0,4.24,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2017,2017 - 2018,Whole Year,All Crops,386539.0,1672790.0,4.33,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2018,2018 - 2019,Whole Year,All Crops,385598.0,1723728.0,4.47,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2019,2019 - 2020,Whole Year,All Crops,387586.0,1632480.0,4.21,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2020,2020 - 2021,Whole Year,All Crops,398611.0,1424839.0,3.57,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2021,2021 - 2022,Whole Year,All Crops,430625.0,1447672.0,3.36,"DES Area, Production & Yield Query Report"
Andhra Pradesh,East godavari,2022,2022 - 2023,Whole Year,All Crops,132082.0,580924.0,4.4,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Eluru,2022,2022 - 2023,Whole Year,All Crops,121263.0,543616.0,4.48,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2013,2013 - 2014,Whole Year,All Crops,328167.0,1096004.0,3.34,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2014,2014 - 2015,Whole Year,All Crops,285302.0,1111932.0,3.9,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2015,2015 - 2016,Whole Year,All Crops,163218.0,474871.0,2.91,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2016,2016 - 2017,Whole Year,All Crops,175940.0,735531.0,4.18,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2017,2017 - 2018,Whole Year,All Crops,202491.0,852842.0,4.21,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2018,2018 - 2019,Whole Year,All Crops,246838.0,979193.0,3.97,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2019,2019 - 2020,Whole Year,All Crops,246702.0,983049.0,3.98,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2020,2020 - 2021,Whole Year,All Crops,255285.0,831187.0,3.26,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2021,2021 - 2022,Whole Year,All Crops,254172.0,766598.0,3.02,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Guntur,2022,2022 - 2023,Whole Year,All Crops,62355.0,261552.0,4.19,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2013,2013 - 2014,Whole Year,All Crops,62712.0,178289.0,2.84,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2014,2014 - 2015,Whole Year,All Crops,45885.0,165837.0,3.61,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2015,2015 - 2016,Whole Year,All Crops,40263.0,123127.0,3.06,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2016,2016 - 2017,Whole Year,All Crops,50329.0,165640.0,3.29,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2017,2017 - 2018,Whole Year,All Crops,54979.0,139764.0,2.54,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2018,2018 - 2019,Whole Year,All Crops,45840.0,147711.0,3.22,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2019,2019 - 2020,Whole Year,All Crops,41809.0,129564.0,3.1,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2020,2020 - 2021,Whole Year,All Crops,60187.0,147866.0,2.46,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2021,2021 - 2022,Whole Year,All Crops,70502.0,141251.0,2.0,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kadapa,2022,2022 - 2023,Whole Year,All Crops,38047.0,126196.0,3.32,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kakinada,2022,2022 - 2023,Whole Year,All Crops,155124.0,609901.0,3.93,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Konaseema,2022,2022 - 2023,Whole Year,All Crops,126790.0,584636.0,4.61,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2013,2013 - 2014,Whole Year,All Crops,363322.0,1175521.0,3.24,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2014,2014 - 2015,Whole Year,All Crops,288042.0,998795.0,3.47,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2015,2015 - 2016,Whole Year,All Crops,220679.0,762638.0,3.46,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2016,2016 - 2017,Whole Year,All Crops,231409.0,897716.0,3.88,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2017,2017 - 2018,Whole Year,All Crops,258728.0,1031955.0,3.99,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2018,2018 - 2019,Whole Year,All Crops,274014.0,1147048.0,4.19,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2019,2019 - 2020,Whole Year,All Crops,315036.0,1261309.0,4.0,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2020,2020 - 2021,Whole Year,All Crops,338617.0,1198556.0,3.54,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2021,2021 - 2022,Whole Year,All Crops,268513.0,928371.0,3.46,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Krishna,2022,2022 - 2023,Whole Year,All Crops,167427.0,665011.0,3.97,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2013,2013 - 2014,Whole Year,All Crops,124894.0,458400.0,3.67,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2014,2014 - 2015,Whole Year,All Crops,114898.0,444262.0,3.87,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2015,2015 - 2016,Whole Year,All Crops,55592.0,171582.0,3.09,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2016,2016 - 2017,Whole Year,All Crops,108715.0,434885.0,4.0,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2017,2017 - 2018,Whole Year,All Crops,102090.0,362463.0,3.55,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2018,2018 - 2019,Whole Year,All Crops,109897.0,420986.0,3.83,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2019,2019 - 2020,Whole Year,All Crops,121473.0,481209.0,3.96,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2020,2020 - 2021,Whole Year,All Crops,122938.0,400245.0,3.26,"DES Area, Production & Yield Query Report"
Andhra Pradesh,Kurnool,2021,2021 - 2022,Whole Year,All Crops,117156.0,382980.0,3.27,"DES Area, Production & Yield Query Report"
