State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2013,1313.9,26.77,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2014,1062.3,27.3,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2015,1205.3,27.5,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2016,1317.3,27.66,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2017,1182.9,27.97,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2018,1363.2,27.7,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2019,1208.6,28.0,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2020,1761.9,27.66,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2021,1248.0,27.69,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2022,1470.5,27.78,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,2023,1751.6,28.15,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2013,1471.4,26.74,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2014,1040.6,27.18,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2015,1107.7,27.43,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2016,1400.7,27.63,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2017,1245.3,27.6,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2018,1451.7,27.33,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,2019,1585.0,27.72,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
