Date,State,District,Latitude,Longitude,ResolvedLocation,Rainfall,Temperature,WeatherDataSource
2013-01-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.0,Open-Meteo Historical Weather API
2013-01-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.2,Open-Meteo Historical Weather API
2013-01-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,16.9,Open-Meteo Historical Weather API
2013-01-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.1,Open-Meteo Historical Weather API
2013-01-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,12.7,Open-Meteo Historical Weather API
2013-01-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,12.7,Open-Meteo Historical Weather API
2013-01-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,12.4,Open-Meteo Historical Weather API
2013-01-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,11.3,Open-Meteo Historical Weather API
2013-01-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,11.6,Open-Meteo Historical Weather API
2013-01-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,12.9,Open-Meteo Historical Weather API
2013-01-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.0,Open-Meteo Historical Weather API
2013-01-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.1,Open-Meteo Historical Weather API
2013-01-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,15.0,Open-Meteo Historical Weather API
2013-01-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,16.3,Open-Meteo Historical Weather API
2013-01-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.8,Open-Meteo Historical Weather API
2013-01-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.1,Open-Meteo Historical Weather API
2013-01-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.5,Open-Meteo Historical Weather API
2013-01-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,5.9,19.8,Open-Meteo Historical Weather API
2013-01-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,35.5,18.4,Open-Meteo Historical Weather API
2013-01-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,15.9,Open-Meteo Historical Weather API
2013-01-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.4,Open-Meteo Historical Weather API
2013-01-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.0,Open-Meteo Historical Weather API
2013-01-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.0,Open-Meteo Historical Weather API
2013-01-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,13.7,Open-Meteo Historical Weather API
2013-01-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.0,Open-Meteo Historical Weather API
2013-01-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.4,Open-Meteo Historical Weather API
2013-01-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.4,Open-Meteo Historical Weather API
2013-01-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,14.7,Open-Meteo Historical Weather API
2013-01-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,15.6,Open-Meteo Historical Weather API
