State,District,Error
Andaman and Nicobar Islands,North and middle andaman,No exact ADM2 boundary match
Andaman and Nicobar Islands,South andamans,No exact ADM2 boundary match
Andhra Pradesh,Alluri sitharama raju,No exact ADM2 boundary match
Andhra Pradesh,Anakapalli,No exact ADM2 boundary match
Andhra Pradesh,Annamayya,No exact ADM2 boundary match
Andhra Pradesh,Bapatla,No exact ADM2 boundary match
Andhra Pradesh,Eluru,No exact ADM2 boundary match
Andhra Pradesh,Kadapa,No exact ADM2 boundary match
Andhra Pradesh,Kakinada,No exact ADM2 boundary match
Andhra Pradesh,Konaseema,No exact ADM2 boundary match
Andhra Pradesh,Nandyal,No exact ADM2 boundary match
Andhra Pradesh,Ntr,No exact ADM2 boundary match
Andhra Pradesh,Palnadu,No exact ADM2 boundary match
Andhra Pradesh,Parvathipuram manyam,No exact ADM2 boundary match
Andhra Pradesh,Spsr nellore,No exact ADM2 boundary match
Andhra Pradesh,Sri sathya sai,No exact ADM2 boundary match
Andhra Pradesh,Tirupati,No exact ADM2 boundary match
Andhra Pradesh,Visakhapatanam,No exact ADM2 boundary match
Assam,Kamrup metro,No exact ADM2 boundary match
Assam,Karbi anglong,No exact ADM2 boundary match
Assam,Marigaon,No exact ADM2 boundary match
Assam,South salmara mancachar,No exact ADM2 boundary match
Assam,West karbi anglong,No exact ADM2 boundary match
Bihar,Aurangabad,Ambiguous ADM2 boundary name
Bihar,Purbi champaran,No exact ADM2 boundary match
Chhattisgarh,Balrampur,Ambiguous ADM2 boundary name
Chhattisgarh,Bemetara,No exact ADM2 boundary match
Chhattisgarh,Bijapur,Ambiguous ADM2 boundary name
Chhattisgarh,Bilaspur,Ambiguous ADM2 boundary name
Chhattisgarh,Dantewada,No exact ADM2 boundary match
Chhattisgarh,Gariyaband,No exact ADM2 boundary match
Chhattisgarh,Kabirdham,No exact ADM2 boundary match
Chhattisgarh,Kanker,No exact ADM2 boundary match
Chhattisgarh,Khairgarh chhuikhadan gandai,No exact ADM2 boundary match
Chhattisgarh,Korea,No exact ADM2 boundary match
Chhattisgarh,Manendragarh chirimiri bharatpur,No exact ADM2 boundary match
Chhattisgarh,Mohla manpur ambagarh chouki,No exact ADM2 boundary match
Chhattisgarh,Raigarh,Ambiguous ADM2 boundary name
Chhattisgarh,Sakti,No exact ADM2 boundary match
Chhattisgarh,Sarangarh bilaigarh,No exact ADM2 boundary match
Delhi,Delhi_Total,No exact ADM2 boundary match
Gujarat,Aravalli,No exact ADM2 boundary match
Gujarat,Botad,No exact ADM2 boundary match
Gujarat,Chhotaudepur,No exact ADM2 boundary match
Gujarat,Dang,No exact ADM2 boundary match
Haryana,Charki dadri,No exact ADM2 boundary match
Himachal Pradesh,Bilaspur,Ambiguous ADM2 boundary name
Himachal Pradesh,Hamirpur,Ambiguous ADM2 boundary name
Jammu and Kashmir,Bandipora,No exact ADM2 boundary match
Jammu and Kashmir,Baramulla,No exact ADM2 boundary match
Jammu and Kashmir,Poonch,No exact ADM2 boundary match
Jammu and Kashmir,Rajauri,No exact ADM2 boundary match
Jammu and Kashmir,Shopian,No exact ADM2 boundary match
Jharkhand,East singhbum,No exact ADM2 boundary match
Jharkhand,Koderma,No exact ADM2 boundary match
Jharkhand,Sahebganj,No exact ADM2 boundary match
Jharkhand,West singhbhum,No exact ADM2 boundary match
Karnataka,Bengaluru urban,No exact ADM2 boundary match
Karnataka,Bijapur,Ambiguous ADM2 boundary name
Karnataka,Chikballapur,No exact ADM2 boundary match
Karnataka,Dakshin kannad,No exact ADM2 boundary match
Karnataka,Davangere,No exact ADM2 boundary match
Karnataka,Uttar kannad,No exact ADM2 boundary match
