State,District,Error
Uttar Pradesh,Kheri,HTTP Error 429: Too Many Requests
Uttar Pradesh,Barabanki,HTTP Error 429: Too Many Requests
Tamil Nadu,Cuddalore,HTTP Error 429: Too Many Requests
Andhra Pradesh,Srikakulam,HTTP Error 429: Too Many Requests
Haryana,Kurukshetra,HTTP Error 429: Too Many Requests
Chhattisgarh,Dhamtari,HTTP Error 429: Too Many Requests
Karnataka,Bellary,HTTP Error 429: Too Many Requests
Telangana,Khammam,HTTP Error 429: Too Many Requests
Punjab,Kapurthala,HTTP Error 429: Too Many Requests
Uttar Pradesh,Azamgarh,HTTP Error 429: Too Many Requests
Madhya Pradesh,Hoshangabad,HTTP Error 429: Too Many Requests
Madhya Pradesh,Seoni,HTTP Error 429: Too Many Requests
Uttar Pradesh,Bareilly,HTTP Error 429: Too Many Requests
Madhya Pradesh,Raisen,HTTP Error 429: Too Many Requests
Uttar Pradesh,Bahraich,HTTP Error 429: Too Many Requests
Punjab,Fazilka,HTTP Error 429: Too Many Requests
Bihar,Kaimur (bhabua),HTTP Error 429: Too Many Requests
Tamil Nadu,Thiruvallur,HTTP Error 429: Too Many Requests
Uttar Pradesh,Ghazipur,HTTP Error 429: Too Many Requests
Punjab,Fatehgarh sahib,HTTP Error 429: Too Many Requests
Uttar Pradesh,Rampur,HTTP Error 429: Too Many Requests
Telangana,Siddipet,HTTP Error 429: Too Many Requests
Uttar Pradesh,Hardoi,HTTP Error 429: Too Many Requests
Odisha,Balangir,HTTP Error 429: Too Many Requests
Jharkhand,Ranchi,HTTP Error 429: Too Many Requests
Jharkhand,Gumla,HTTP Error 429: Too Many Requests
Uttar Pradesh,Jaunpur,HTTP Error 429: Too Many Requests
Madhya Pradesh,Katni,HTTP Error 429: Too Many Requests
Andhra Pradesh,Kurnool,HTTP Error 429: Too Many Requests
Maharashtra,Bhandara,HTTP Error 429: Too Many Requests
Bihar,Pashchim champaran,HTTP Error 429: Too Many Requests
West Bengal,Jhargram,HTTP Error 429: Too Many Requests
Uttar Pradesh,Ambedkar nagar,HTTP Error 429: Too Many Requests
Maharashtra,Kolhapur,HTTP Error 429: Too Many Requests
Haryana,Sirsa,HTTP Error 429: Too Many Requests
Gujarat,Kheda,HTTP Error 429: Too Many Requests
Madhya Pradesh,Jabalpur,HTTP Error 429: Too Many Requests
