State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Production,SelectionMethod,SelectionRank
Andhra Pradesh,West godavari,16.899804422856924,81.40941945782606,West Godavari,geoBoundaries India ADM2 centroid,15546158.0,Top total DES-reported production across available reporting years,1
Andhra Pradesh,East godavari,17.194085358659937,82.01404957496521,East Godavari,geoBoundaries India ADM2 centroid,14329971.0,Top total DES-reported production across available reporting years,2
Punjab,Sangrur,30.211755355744923,75.8702448008922,Sangrur,geoBoundaries India ADM2 centroid,13374000.0,Top total DES-reported production across available reporting years,3
West Bengal,Birbhum,23.95370624123209,87.66555570909533,Birbhum,geoBoundaries India ADM2 centroid,12603294.0,Top total DES-reported production across available reporting years,4
Punjab,Ludhiana,30.804715545305687,75.83614321635899,Ludhiana,geoBoundaries India ADM2 centroid,12018000.0,Top total DES-reported production across available reporting years,5
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,10716133.0,Top total DES-reported production across available reporting years,6
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,10714917.0,Top total DES-reported production across available reporting years,7
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,10066920.0,Top total DES-reported production across available reporting years,8
Punjab,Patiala,30.280251708225915,76.35158282406285,Patiala,geoBoundaries India ADM2 centroid,9628000.0,Top total DES-reported production across available reporting years,9
Telangana,Nalgonda,16.8759835692122,79.20093706029775,Nalgonda,geoBoundaries India ADM2 centroid,9303026.0,Top total DES-reported production across available reporting years,10
Telangana,Nizamabad,18.69592319300049,78.21309030263654,Nizamabad,geoBoundaries India ADM2 centroid,8806141.0,Top total DES-reported production across available reporting years,11
Punjab,Moga,30.76240710875285,75.17424180496198,Moga,geoBoundaries India ADM2 centroid,8509000.0,Top total DES-reported production across available reporting years,12
Bihar,Rohtas,24.981550627226348,84.0246058110957,Rohtas,geoBoundaries India ADM2 centroid,8338701.0,Top total DES-reported production across available reporting years,13
Andhra Pradesh,Guntur,16.294607741688004,80.09716925860874,Guntur,geoBoundaries India ADM2 centroid,8092759.0,Top total DES-reported production across available reporting years,14
Odisha,Bargarh,21.220601346141414,83.35327253003422,Bargarh,geoBoundaries India ADM2 centroid,7580656.0,Top total DES-reported production across available reporting years,15
West Bengal,Nadia,23.47535291954276,88.5163386637047,Nadia,geoBoundaries India ADM2 centroid,7296860.0,Top total DES-reported production across available reporting years,16
Punjab,Bathinda,30.182541569135864,75.04161353165237,Bathinda,geoBoundaries India ADM2 centroid,7164000.0,Top total DES-reported production across available reporting years,17
